|word|wordcount
0|риа новости|307
1|возбуждено уголовное|121
2|слова приводит|98
3|миллиарда долларов|97
4|передает риа|87
5|результате инцидента|83
6|сумма сделки|82
7|приводит риа|78
8|инцидент произошел|72
9|слова передает|67
10|эхо москвы|64
11|завершилась счетом|62
12|миллиардов долларов|60
13|встреча завершилась|60
14|таким образом|52
15|сделки составила|51
16|ранее сообщалось|50
17|составляет долларов|47
18|миллиона долларов|45
19|миллиардов рублей|43
20|сообщает риа|39
21|стало известно|39
22|президента сша|38
23|владимир путин|36
24|общей сложности|36
25|приняли участие|33
26|инцидента пострадал|33
27|правоохранительных органах|33
28|тысячи рублей|33
29|правоохранительных органов|32
30|президента рф|31
31|кубометров газа|28
32|миллиарда рублей|28
33|произошел июня|27
34|квадратных метра|26
35|результате происшествия|25
36|речь идет|25
37|пресс секретарь|24
38|миллиона рублей|24
39|составила долларов|24
40|получили ранения|24
41|мвд рф|24
42|президент россии|24
43|факту произошедшего|23
44|михаил касьянов|23
45|пресс службе|23
46|составила миллиарда|23
47|вице премьер|22
48|воскресенье июня|22
49|ходе встречи|22
50|новости ссылкой|22
51|первом матче|21
52|суд москвы|21
53|агентство риа|20
54|россии владимир|20
55|народной республики|20
56|секретарь президента|20
57|факту возбуждено|19
58|глава государства|19
59|донецкой народной|19
60|последним данным|19
61|миллиардов кубометров|18
62|президента россии|18
63|самопровозглашенной донецкой|18
64|правам человека|18
65|произошедшего возбуждено|18
66|результате взрыва|17
67|пресс релизе|17
68|сообщил риа|17
69|внешнеполитического ведомства|17
70|принять участие|17
71|военный самолет|16
72|занимал пост|16
73|мирных жителей|16
74|погибли человека|16
75|акции протеста|16
76|официальный представитель|16
77|словам собеседника|15
78|верховном суде|15
79|субботу глава|15
80|местные власти|15
81|прошлым годом|15
82|собеседника агентства|15
83|дмитрий медведев|15
84|правоохранительные органы|15
85|юлия тимошенко|14
86|меньшей мере|14
87|ипотечных кредитов|14
88|результате обстрела|14
89|данному факту|13
90|президент украины|13
91|источник правоохранительных|13
92|виктора януковича|13
93|глава администрации|13
94|соответствующий указ|13
95|появлялась информация|13
96|глава мвд|13
97|конце июня|13
98|стоимость составляет|13
99|является одним|13
100|сравнению прошлым|13
101|ук рф|13
102|результате погибли|13
103|сотрудники правоохранительных|13
104|официальном сайте|13
105|совет директоров|12
106|глава российского|12
107|суд признал|12
108|президент сша|12
109|результате стрельбы|12
110|согласно законопроекту|12
111|верховная рада|12
112|прямую трансляцию|12
113|глава самопровозглашенной|12
114|двумя странами|12
115|отмечает риа|12
116|принял участие|12
117|последние месяцы|12
118|указ подписал|12
119|составляет миллиарда|12
120|взрыва пострадал|12
121|сергей миронов|12
122|уголовной ответственности|11
123|словам представителей|11
124|тысячи квадратных|11
125|газета эхо|11
126|рф сергей|11
127|виктор ющенко|11
128|пресс служба|11
129|принял решение|11
130|результате пострадали|11
131|результате погиб|10
132|котором приняли|10
133|уголовное статье|10
134|субботу июня|10
135|лишения свободы|10
136|некоторым данным|10
137|согласно графику|10
138|уголовное отношении|10
139|словам удальцова|10
140|владимира путина|10
141|результате теракта|10
142|московской области|10
143|решение принято|9
144|сообщает агентство|9
145|конце января|9
146|премьер министр|9
147|российских военнослужащих|9
148|предъявлены обвинения|9
149|российская команда|9
150|президент рф|9
151|уголовное возбуждено|9
152|чрезвычайное положение|9
153|сообщает интерфакс|9
154|возбуждено отношении|9
155|турецкий лидер|9
156|партии регионов|9
157|четверг июня|9
158|результате аварии|9
159|информации издания|9
160|военную службу|9
161|петра порошенко|9
162|квадратных метров|9
163|алексей миллер|9
164|представитель внешнеполитического|9
165|ранее предполагалось|9
166|тяжелом состоянии|9
167|еэс россии|9
168|конце ноября|9
169|словам очевидцев|9
170|го тура|9
171|южной кореи|9
172|петр порошенко|9
173|гу мвд|9
174|эльвира набиуллина|8
175|отношении возбуждено|8
176|военных действий|8
177|возбуждены уголовные|8
178|северной америке|8
179|единой россии|8
180|северной африке|8
181|юрий лужков|8
182|стран членов|8
183|субботу декабря|8
184|одним крупнейших|8
185|респондентов ответили|8
186|ссылкой источник|8
187|интерфакс выступил|8
188|сообщается сайте|8
189|дональда трампа|8
190|украины петр|8
191|должностными лицами|8
192|уголовное факту|8
193|представитель министерства|8
194|москвы юрий|8
195|миллиона тонн|8
196|вице президент|8
197|эха москвы|8
198|президента украины|8
199|мэр москвы|8
200|пишет газета|8
201|ходе инцидента|8
202|начале июня|8
203|среду июня|8
204|отношении россии|8
205|судебное слушание|8
206|южная корея|8
207|крайней мере|8
208|игра завершилась|7
209|сша дональда|7
210|агентство интерфакс|7
211|результате автомобиль|7
212|статье ук|7
213|нескольких площадках|7
214|начале января|7
215|июня стало|7
216|уровень доверия|7
217|правого сектора|7
218|ранее стало|7
219|ценные бумаги|7
220|премьер министра|7
221|рф виктора|7
222|результатов референдума|7
223|службе гу|7
224|инцидента погибли|7
225|стоимость долларов|7
226|миллиарда кубометров|7
227|завершилась победой|7
228|возбудила уголовное|7
229|тысячи долларов|7
230|российского мид|7
231|предполагалось ранее|7
232|ходе перестрелки|7
233|обжаловать решение|7
234|сергей лавров|7
235|вкс россии|7
236|объявлен розыск|7
237|алексей кудрин|7
238|граждан рф|7
239|мировой войны|7
240|тяжелые ранения|7
241|делу отношении|7
242|российских военных|7
243|квадратов квадратов|7
244|главным тренером|7
245|официальном пресс|7
246|совершено нападение|7
247|вооруженных сил|7
248|составила миллиона|7
249|уголовные дела|7
250|арбитражный суд|7
251|ранения получили|7
252|украинские власти|7
253|четверг газета|7
254|своем официальном|6
255|точное число|6
256|пост президента|6
257|происшествия пострадал|6
258|джордж буш|6
259|иностранные граждане|6
260|фунтов стерлингов|6
261|исламского государства|6
262|уточняет риа|6
263|конце февраля|6
264|отставку министра|6
265|представитель правительства|6
266|представители правоохранительных|6
267|среди мирного|6
268|барака обамы|6
269|ходе нападения|6
270|решение проголосовали|6
271|российского правительства|6
272|получили травмы|6
273|общий объем|6
274|правительстве россии|6
275|главного тренера|6
276|плохой видимости|6
277|июня сообщил|6
278|занимал должность|6
279|процента респондентов|6
280|крупнейших мид|6
281|составляет миллиардов|6
282|обе стороны|6
283|верховной рады|6
284|большинство проголосовавших|6
285|занимаемой должности|6
286|новости пресс|6
287|избирательные участки|6
288|среду декабря|6
289|сборной россии|6
290|ходе расследования|6
291|иностранных рф|6
292|середине июня|6
293|футбольных болельщиков|6
294|акций протеста|6
295|санкт петербурга|6
296|незаконный оборот|6
297|путин заявил|6
298|российские вкс|6
299|данным следствия|6
300|результате терактов|6
301|пресс службу|6
302|каких либо|6
303|цены газ|6
304|тройки диалог|6
305|новости интерфакс|6
306|составляет квадратных|6
307|сумму долларов|6
308|остается неизвестной|6
309|точное количество|6
310|иностранным компаниям|5
311|российским спецслужбам|5
312|уплаты налогов|5
