|word|wordcount
0|передает риа новости|87
1|слова приводит риа|78
2|приводит риа новости|78
3|слова передает риа|65
4|сумма сделки составила|51
5|встреча завершилась счетом|49
6|сообщает риа новости|38
7|результате инцидента пострадал|31
8|инцидент произошел июня|22
9|риа новости ссылкой|22
10|составила миллиарда долларов|21
11|агентство риа новости|20
12|россии владимир путин|20
13|сделки составила миллиарда|19
14|факту возбуждено уголовное|18
15|самопровозглашенной донецкой народной|18
16|президент россии владимир|18
17|факту произошедшего возбуждено|18
18|пресс секретарь президента|18
19|произошедшего возбуждено уголовное|17
20|донецкой народной республики|17
21|миллиардов кубометров газа|17
22|сообщил риа новости|17
23|словам собеседника агентства|15
24|источник правоохранительных органах|13
25|сотрудники правоохранительных органов|13
26|сделки составила долларов|13
27|отмечает риа новости|12
28|сравнению прошлым годом|12
29|соответствующий указ подписал|11
30|газета эхо москвы|11
31|глава самопровозглашенной донецкой|11
32|возбуждено уголовное отношении|9
33|котором приняли участие|9
34|результате взрыва пострадал|9
35|официальный представитель внешнеполитического|9
36|представитель внешнеполитического ведомства|9
37|составляет миллиарда долларов|9
38|президент украины петр|8
39|отношении возбуждено уголовное|8
40|возбуждено уголовное статье|8
41|мэр москвы юрий|8
42|тысячи квадратных метров|8
43|гу мвд рф|8
44|стоимость составляет долларов|8
45|возбуждены уголовные дела|7
46|украины петр порошенко|7
47|результате инцидента погибли|7
48|президента сша дональда|7
49|официальном пресс релизе|7
50|президента рф виктора|7
51|москвы юрий лужков|7
52|данному факту возбуждено|7
53|риа новости пресс|6
54|глава российского мид|6
55|представители правоохранительных органов|6
56|уточняет риа новости|6
57|составляет квадратных метра|6
58|сделки составила миллиона|6
59|составила миллиона долларов|6
60|сша дональда трампа|6
61|является одним крупнейших|6
62|пишет газета эхо|6
63|риа новости интерфакс|6
64|ранее стало известно|6
65|результате происшествия пострадал|6
66|сообщает агентство риа|6
67|статье ук рф|5
68|возбуждено уголовное факту|5
69|президент сша джордж|5
70|эхо москвы эхо|5
71|риа новости газета|5
72|уголовное статье ук|5
73|уклонении уплаты налогов|5
74|стоимость составила долларов|5
75|дмитрий медведев заявил|5
76|погиб тяжелом состоянии|5
77|сумма сделки составляет|5
78|владимир путин заявил|5
79|результате инцидента погиб|5
80|сша джордж буш|5
81|рф сергей лавров|5
82|миллиарда кубометров газа|5
83|суд правам человека|5
84|июня стало известно|5
85|новости пресс секретарь|5
86|встреча завершилась победой|5
87|вице премьер министра|5
88|риа новости ведомости|5
89|президента рф сергей|5
90|москвы эхо москвы|5
91|пресс службе гу|5
92|слова приводит интерфакс|5
93|игра завершилась счетом|4
94|российские вкс россии|4
95|коммерсант эхо москвы|4
96|иностранных рф сергей|4
97|секретарь президента россии|4
98|информации риа новости|4
99|европейских футбольных болельщиков|4
100|ссылкой пресс службу|4
101|службе гу мвд|4
102|глава мвд рф|4
103|рф петра порошенко|4
104|рф виктора януковича|4
105|верховная рада приняла|4
106|планирует принять участие|4
107|передает агентство риа|4
108|российского внешнеполитического ведомства|4
109|пресс службе мвд|4
110|процента респондентов ответили|4
111|премьер аркадий дворкович|4
112|подавляющее большинство проголосовавших|4
113|президента рф петра|4
114|получил тяжелые ранения|4
115|секретарь президента рф|4
116|министр иностранных рф|4
117|результате терактов погибли|4
118|инцидент произошел февраля|4
119|президент рф владимир|4
120|составляет миллиардов долларов|4
121|судебное слушание делу|4
122|квадратов квадратов квадратов|4
123|грозит пожизненное заключение|4
124|миллиона квадратных метра|4
125|впервые речь идет|4
126|пресс релизе агентства|3
127|вице премьер премьер|3
128|составила миллиардов рублей|3
129|генеральная прокуратура рф|3
130|сша барака обамы|3
131|уполномоченного правам человека|3
132|финансов антон силуанов|3
133|сделки составила рублей|3
134|четверг газета фукусима|3
